1;perly;milk cream, cream, sugar, banana, bacteria;banana, milk;https://world.openfoodfacts.org/product/6111242100992
2;Lait;fresh pasteurised semi-skimmed milk with 15gl of fat;milk;https://world.openfoodfacts.org/product/6111266962187
3;Jben;whole fresh milk, cream, stabilizers, starch, carrageenan, salt, lactic ferments fat 21%;milk;https://world.openfoodfacts.org/product/6111242106949
4;Gerostete Mandel Ohne Zucker;water, almond (2,3%), sugar, calcium (tri - calcium phosphate), sea salt, stabilisers (locust bean gum, gellan gum), emulsifier (lecithins), natural flavouring, vitamins (b2, b12, e, d2),;nuts;https://world.openfoodfacts.org/product/5411188112709
5;Oat Drink Barista Edition;water, oats 10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin and b12),;gluten;https://world.openfoodfacts.org/product/7394376616228
6;Alpro Haverdrink zonder suikers;Water, Oat (9.9%), Sunflower oil, Soluble corn fibre, Calcium (Calcium carbonate), Sea salt, Stabiliser (Gellan gum), Potassium iodide, Vitamins B2, D2.;gluten;https://world.openfoodfacts.org/product/5411188124689
7;Jebli;white cheese, water cream, milk proteins, salt, coagulants (starch, agar, xatan gum), preservatives (potassium sorbate), flavor, keep cool between 4 and 6 19% of the fatty substances,;milk;https://world.openfoodfacts.org/product/6111206000733
8;Kefir Natural Fermented Yogurt;Organic MILK, fermented with live kefir cultures;milk;https://world.openfoodfacts.org/product/5036589252450
9;Philadelphia;Full fat soft CHEESE, salt, stabiliser (guar gum), acid (citric acid). Made with pasteurised milk.;milk;https://world.openfoodfacts.org/product/7622201693916
10;Alpro Plantaardig variatie vanille;water, hulled soybeans (7.3%), sugar, glucose-fructose syrup, stabiliser (pectin), acidity regulators (citric acid, sodium citrate), tricalcium phosphate, carrot extract, sea salt, vitamins (riboflavin (b2), b12, d2), flavouring, natural flavouring, vanilla powder (0.03%), antioxidants (tocopherol extract, ascorbyl palminate), yoghurt cultures (s, thermophilus, l, bulgaricus);soybeans;https://world.openfoodfacts.org/product/5411188103387
11;Almond Drink;water, 2,3% almonds, maltodextrins, sea salt, stabilizers carob seed flour, gellanic gum, emulsifier sunflower lecithin, natural aroma, from organic farming;gluten, nuts;https://world.openfoodfacts.org/product/4056489346357
12;5% Greek Yogurt;Pasteurised skimmed milk, cream (milk), live active yoghurt cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei). no palm oil;milk;https://world.openfoodfacts.org/product/5201054017432
13;Kinder Bueno;MILK chocolate 31.5% (sugar, cocoa butter, cocoa mass, skimmed MILK powder, concentrated POTTER, emulsifier lecithins (SOYA), vanillin), sugar, palm oil, WHEAT flour, HAZELNUTS (10.5%), skimmed MILK powder, MILK powder, chocolate (sugar, cocoa mass, cocoa butter, emulsifier lecithins (SOYA), vanillin), fat-reduced cocoa, emulsifier lecithins (SOYA), raising agent (sodium bicarbonate), salt, vanillin.;gluten, milk, nuts, soybeans;https://world.openfoodfacts.org/product/80052760
14;Yogurt Greek Style;cream, skimmed milk retentate, microbial cultures,;milk;https://world.openfoodfacts.org/product/20047559
15;Snickers;Milk Chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin), peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor.;eggs, milk, peanuts, soybeans;https://world.openfoodfacts.org/product/5000159461122
16;Lait DAmande;almond milk (water, almonds 2.8%), rice starch, natural almond flavour, sea salt, stabilisers guar gum, xanthan gum;nuts;https://world.openfoodfacts.org/product/3229820787015
17;kefir drink original;Pasteurised Cows Milk fermented with Live Kefir Cultures. Bifidobacterium, Lactobacillus acidophilus, Lactobacillus plantarum, Lactobacillus casei, Lactobacillus rhamnosus;milk;https://world.openfoodfacts.org/product/5060337220415
18;Fage Total 0% Yogurt;Pasteurised skimmed milk, cultures (L. Bulgaricus, S. Thermophilus, L.Acidophilus, Bifidus, L. Casei);milk;https://world.openfoodfacts.org/product/5201054017418
19;Organic Natural Yoghurt;Organic Milk, bifidobacterium live culture;milk;https://world.openfoodfacts.org/product/5036589255598
20;Dark milk chocolate;Dried Whole Milk, Cocoa Mass, Cocoa Butter, Sugar.;milk;https://world.openfoodfacts.org/product/5059697710001
21;Sliced Brioche;WHEAT flour 54%, whole EGGS 14%, brown cane sugar, sunflower oil, sourdough (water, WHEAT 2% and RYE flours, yeasts), WHEAT GLUTEN, natural vanilla flavouring (contains alcohol), salt, yeast, vanilla extract, deactivated yeast. Possible traces of milk, mustard and soya. Ingredients from Organic Farming. Ingredients from French fair trade.;eggs, gluten;https://world.openfoodfacts.org/product/3284230006408
22;Seriously Good Times Mayonnaise;rapeseed oil 68%, water, pasteurized egg yolk 5%, spirit vinegar, sugar, starch, salt, mustard seeds, spices, antioxidant (calcium disodium edta).;eggs, mustard;https://world.openfoodfacts.org/product/5000157076410
23;Real Mayonnaise;Rapeseed Oil (75%), Free Range Pasteurised Whole Egg (12%), Water, Extra Virgin Olive Oil (5%), Unrefined Raw Cane Sugar, Acid Acetic Acid, Sea Salt, Mustard;eggs, mustard;https://world.openfoodfacts.org/product/5060092690331
24;Petites Madeleines;wheat flour (32%), rapeseed oil, non-hydrogenated, sugar, eggs from hens raised outdoors (16%), stabilizer glycerol, glucose-fructose syrup, fresh milk semi-skimmed pasteurized (5%), baking powders diphosphates and carbonates of sodium (wheat), salt, flavour, contains soy, traces of any nuts,;eggs, gluten, milk;https://world.openfoodfacts.org/product/3178530410105
25;Butter cookie;wheat flour, sugar, butter (18%), eggs, natural flavour, salt, baking powders (ammonium and sodium carbonates, citric acid), skimmed milk powder;eggs, gluten, milk;https://world.openfoodfacts.org/product/3023470001015
26;Lasagne alluovo;durum wheat semolina, fresh eggs of category a (19,36%).;eggs, gluten;https://world.openfoodfacts.org/product/8076800376999
27;Medium Egg Noodles imp;Wheat Flour, Pasteurised Egg (2%), Salt, Acidity Regulator (Potassium Carbonate). Allergy Advice For allergens, including cereals containing gluten, see ingredients in bold. May also contain milk, sesame and soya.;eggs, gluten;https://world.openfoodfacts.org/product/5000354924712
28;Medium Egg Noodles;Soft Wheat Flour, Durum Wheat Flour, 4% Free Range Egg, Salt, Acidity Regulator Potassium Carbonates.;eggs, gluten;https://world.openfoodfacts.org/product/4056489365310
